feature,mean_abs_shap
person_income,1.3584567
loan_percent_income,0.9213325
loan_int_rate,0.8216595
person_home_ownership_RENT,0.5932407
loan_intent_VENTURE,0.5751244
loan_amnt,0.4788775
person_home_ownership_OWN,0.46601662
loan_grade_D,0.41821402
person_emp_length,0.2458671
person_age,0.24397409
loan_intent_EDUCATION,0.22944278
loan_intent_HOMEIMPROVEMENT,0.18097125
loan_intent_PERSONAL,0.16308694
loan_grade_E,0.15268658
cb_person_cred_hist_length,0.122202985
loan_grade_C,0.12113747
loan_grade_B,0.09152809
loan_intent_MEDICAL,0.08190908
cb_person_default_on_file_Y,0.07019016
loan_grade_F,0.043567244
loan_grade_G,0.027524568
person_home_ownership_OTHER,0.0042083664
